Final Max Accuracy: 92.16734822271154% in 0:0:25
Test Config: lr: 0.01, linear: False, loss_fn: ce, optim: adam
Epoch: 0, Train loss: 7.230421036809324, Test Loss: 7.316040303669372, Accuracy: 4.81283422459893
Epoch: 50, Train loss: 6.474045772851999, Test Loss: 6.535835711586171, Accuracy: 62.629757785467135
Epoch: 100, Train loss: 5.971489783915537, Test Loss: 6.04044047403454, Accuracy: 74.20572507077698
Epoch: 150, Train loss: 5.642846137926167, Test Loss: 5.7281190502466925, Accuracy: 86.44227744573766
Epoch: 200, Train loss: 5.500212065631488, Test Loss: 5.59743904673809, Accuracy: 87.85781692356088
Epoch: 250, Train loss: 5.393263160173881, Test Loss: 5.516584214021435, Accuracy: 88.7071406102548
Epoch: 300, Train loss: 5.325164500263421, Test Loss: 5.4738969524281496, Accuracy: 89.05316137150047
Epoch: 350, Train loss: 5.27680665792369, Test Loss: 5.449289338549274, Accuracy: 88.7071406102548
Epoch: 400, Train loss: 5.242335883919107, Test Loss: 5.4337423089238115, Accuracy: 88.8958792072979
Epoch: 450, Train loss: 5.2176976126293155, Test Loss: 5.423101121425492, Accuracy: 89.21044353570305
Epoch: 500, Train loss: 5.19842542727666, Test Loss: 5.414454940548253, Accuracy: 89.21044353570305
Epoch: 550, Train loss: 5.182732988605255, Test Loss: 5.407599035266902, Accuracy: 89.33626926706512
Epoch: 600, Train loss: 5.1696497688206495, Test Loss: 5.402300062826939, Accuracy: 89.49355143126769
Epoch: 650, Train loss: 5.158699375470147, Test Loss: 5.397946630315589, Accuracy: 89.55646429694872
Epoch: 700, Train loss: 5.1495809908397225, Test Loss: 5.395634520525216, Accuracy: 89.5250078641082
Epoch: 750, Train loss: 5.141652023367974, Test Loss: 5.393250524231749, Accuracy: 89.55646429694872
Epoch: 800, Train loss: 5.134730857251038, Test Loss: 5.391498720902336, Accuracy: 89.5250078641082
Epoch: 850, Train loss: 5.128222289237711, Test Loss: 5.390675396646474, Accuracy: 89.55646429694872
Epoch: 900, Train loss: 5.12233729996637, Test Loss: 5.389663470499027, Accuracy: 89.61937716262976
Epoch: 950, Train loss: 5.117184527204211, Test Loss: 5.3889102770875335, Accuracy: 89.61937716262976
Epoch: 1000, Train loss: 5.112521152639779, Test Loss: 5.3883906089978275, Accuracy: 89.77665932683234
Epoch: 1050, Train loss: 5.108238239862981, Test Loss: 5.387787039678164, Accuracy: 89.83957219251337
Epoch: 1100, Train loss: 5.104248265412374, Test Loss: 5.387774618491659, Accuracy: 89.74520289399183
Epoch: 1150, Train loss: 5.10035555213537, Test Loss: 5.38809696625124, Accuracy: 89.80811575967286
Epoch: 1200, Train loss: 5.096262038972512, Test Loss: 5.38977336409588, Accuracy: 89.77665932683234
Epoch: 1250, Train loss: 5.092744789018626, Test Loss: 5.39117170905085, Accuracy: 89.80811575967286
Epoch: 1300, Train loss: 5.089794607102515, Test Loss: 5.392055427795519, Accuracy: 89.80811575967286
Epoch: 1350, Train loss: 5.087031816679804, Test Loss: 5.392869503118452, Accuracy: 89.9024850581944
Epoch: 1400, Train loss: 5.084288441967281, Test Loss: 5.394023306737895, Accuracy: 89.93394149103491
Epoch: 1450, Train loss: 5.081624148100044, Test Loss: 5.3946707249030945, Accuracy: 89.96539792387543
Epoch: 1500, Train loss: 5.07918299267084, Test Loss: 5.395235734638672, Accuracy: 90.02831078955647
Epoch: 1550, Train loss: 5.076941987396718, Test Loss: 5.395513542297777, Accuracy: 90.02831078955647
Epoch: 1600, Train loss: 5.074822607572618, Test Loss: 5.395651822586861, Accuracy: 89.99685435671594
Epoch: 1650, Train loss: 5.072770788737387, Test Loss: 5.395603059220942, Accuracy: 89.96539792387543
Epoch: 1700, Train loss: 5.070849886482522, Test Loss: 5.395207666850139, Accuracy: 90.05976722239699
Epoch: 1750, Train loss: 5.069022326344096, Test Loss: 5.394835953821734, Accuracy: 90.05976722239699
Epoch: 1800, Train loss: 5.066813256770724, Test Loss: 5.394445169628279, Accuracy: 90.15413652091853
