g__genera,SAMN13509470,SAMN12711663,SAMN11381136,SAMEA5814138,SAMEA4859549,SAMEA2581908,SAMN08628034,SAMN07521778,SAMN07336929,SAMEA2581973,SAMEA5814464,SAMN00792063,159288231-stool1,SAMEA3665213,SAMN03922500
Abiotrophia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Absicoccus,0.0,0.0003421142661648048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acetanaerobacterium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acetatifactor,0.00019817677368202548,0.0006842285323297156,0.0,0.006076186024772089,0.0014705882352940966,0.003379329766263028,0.0,0.058728230052652965,0.01942663145982659,0.0013599274705348306,0.015897047691143137,0.007624857033930617,0.0020679931066896035,0.0,0.0
Acetatifactor.Coprococcus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acetivibrio_A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acetobacter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acetomicrobium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Achromobacter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acidaminococcus,0.06103844629409467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000772200772200732,0.0
Acidipropionibacterium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acidovorax,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acidovorax_A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acidovorax_C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acinetobacter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Actinobaculum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Actinomyces,0.00039635354736415406,0.0,0.0,0.00023369946249118508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.133322888923708e-05,0.0,0.0
Actinoplanes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Actinotignum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acutalibacter,0.0,0.0,0.0,0.003972890862350998,0.0,0.0,0.0,0.003240178209801477,0.0003772161448509519,0.0,0.0,0.0011437285550895215,3.133322888923708e-05,0.0,0.0
Adlercreutzia,0.0,0.0,0.0,0.0014021967749474297,0.0,0.0002816108138551677,0.0,0.0,0.0003772161448509519,0.0,0.00037850113550334547,0.00038124285169647073,0.00031333228889229793,0.0,0.0
Aerococcus,0.0,0.0,0.0,0.0,0.0,0.0008448324415657063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aeromonas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Afipia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Agathobacter,0.023384859294490863,0.06294902497434168,0.0524412296564199,0.0007010983874736616,0.008823529411764685,0.017178259645170512,0.0,0.0004050222762251329,0.017351942663146092,0.0009066183136898872,0.0030280090840271844,0.0648112847884104,0.008240639197869321,0.02162162162162172,0.0029216467463478676
Agathobaculum,0.002179944510503311,0.0010263427984946265,0.0036166365280288727,0.005375087637298427,0.0,0.0014080540692762448,0.0,0.0004050222762251329,0.00018860807242542354,0.0009066183136898872,0.00037850113550334547,0.004193671368661834,0.0008459971800094022,0.001544401544401464,0.0021248339973438846
Aggregatibacter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Agreia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Agrobacterium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Agrococcus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Akkermansia,0.0,0.0,0.0,0.03809301238607179,0.0,0.0,0.0,0.0008100445524503693,0.017917766880422573,0.0,0.017411052233156837,0.0,0.007676641077863017,0.00308880308880303,0.11447543160690613
Alcaligenes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alcanivorax,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Algoriella,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aliarcobacter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alicycliphilus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aliicoccus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alishewanella,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alistipes,0.0,0.003079028395484092,0.014466546112115813,0.019630754849264017,0.0,0.018304702900591486,0.0,0.006075334143377822,0.02621652206714456,0.0045330915684496376,0.05412566237698744,0.008006099885627086,0.09396835343882215,0.009266409266409295,0.05498007968127504
Alistipes_A,0.00039635354736415406,0.0,0.0,0.00046739892498237016,0.0,0.006758659532526056,0.0,0.0,0.0037721614485099384,0.0009066183136898872,0.0011355034065101417,0.009149828440716717,0.007676641077863017,0.0,0.003452855245683891
Alkalibacterium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alkalihalobacillus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alkaliphilus_B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Allisonella,0.0,0.0,0.0,0.0,0.0014705882352940966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002506658311137967,0.0,0.0
