feature,Bact_Phoc,Firmicutes,Prevotella
Abiotrophia,0.0,0.0,0.0
Acetanaerobacterium,0.0,0.0,0.0
Acetatifactor,0.003552397868561319,0.002421307506053294,-0.0034843205574913716
Acetobacter,0.0,0.0,0.0
Acetomicrobium,0.0,0.0,0.0
Achromobacter,0.0,0.0,0.0
Acidaminococcus,0.0,0.001210653753026647,0.0
Acidipropionibacterium,0.0,0.0,0.0
Acidovorax,0.0,0.0,0.0
Acinetobacter,0.0,0.0,0.0
Actinobaculum,0.0,0.0,0.0
Actinomyces,0.0,0.0,0.0
Actinoplanes,0.0,0.0,0.0
Actinotignum,0.0,0.0,0.0
Acutalibacter,0.0,0.0,0.0
Adlercreutzia,0.0,0.0,0.0
Aerococcus,0.0,0.0,0.0
Aeromonas,0.0,0.0,0.0
Afipia,0.0,0.0,0.0
Agathobacter,0.003552397868561319,-0.001210653753026647,0.0034843205574912606
Agathobaculum,0.001776198934280604,-0.001210653753026647,0.0
Aggregatibacter,0.0,0.0,0.0
Agrobacterium,0.0,0.0,0.0
Agrococcus,0.0,0.0,0.0
Akkermansia,0.005328596802841923,-0.002421307506053294,0.0
Alcaligenes,0.0,0.0,0.0
Alcanivorax,0.0,0.0,0.0
Algoriella,0.0,0.0,0.0
Alicycliphilus,0.0,0.0,0.0
Aliicoccus,0.0,0.0,0.0
Alishewanella,0.0,0.0,0.0
Alistipes,0.010657193605683846,-0.001210653753026647,0.0
Alkalibacterium,0.0,0.0,0.0
Alkalihalobacillus,0.0,0.0,0.0
Allisonella,0.0,0.0,0.0
Allobaculum,0.0,0.0,0.0
Alloprevotella,0.0,0.0,0.0
Alloscardovia,0.0,0.0,0.0
Allosphingosinicella,0.0,0.0,0.0
Amedibacillus,0.0,0.0,0.0
Aminobacter,0.0,0.0,0.0
Amycolatopsis,0.0,0.0,0.0
Anaerobiospirillum,0.0,0.0,0.0
Anaerobutyricum,0.005328596802841923,0.004842615012106588,0.0
Anaerococcus,0.0,0.0,0.0
Anaerocolumna,0.0,0.0,0.0
Anaerofustis,0.0,0.0,0.0
Anaeroglobus,0.0,0.0,0.0
Anaerosalibacter,0.0,0.0,0.0
Anaerosphaera,0.0,0.0,0.0
Anaerosporobacter,0.0,0.0,0.0
Anaerostipes,0.003552397868561319,-0.003631961259079941,0.0
Anaerotignum,0.0,0.0,0.0
Anaerotruncus,0.0,0.0,0.0
Anaerovibrio,0.0,0.0,0.0
Aneurinibacillus,0.0,0.0,0.0
Angelakisella,0.007104795737122527,0.006053268765133124,0.006968641114982521
Anoxybacillus,0.0,0.0,0.0
Apilactobacillus,0.0,0.0,0.0
Aquabacterium,0.0,0.0,0.0
Arachnia,0.0,0.0,0.0
Arcanobacterium,0.0,0.0,0.0
Asaccharospora,0.0,0.0,0.0
Atlantibacter,0.0,0.0,0.0
Atopobium,0.0,0.0,0.0
Aureimonas,0.0,0.0,0.0
Azonexus,0.0,0.0,0.0
Azotobacter,0.0,0.0,0.0
Bacillus,0.0,0.0,0.0
Bacteroides,0.41563055062166965,0.12227602905569002,-0.0034843205574913716
Barnesiella,0.001776198934280604,0.001210653753026647,0.0
Bartonella,0.0,0.0,0.0
Basfia,0.0,0.0,0.0
Bavariicoccus,0.0,0.0,0.0
Bifidobacterium,0.001776198934280604,0.001210653753026647,0.006968641114982521
Bilophila,0.0,0.0,0.0
Blastomonas,0.0,0.0,0.0
Blautia,0.0,0.0,0.0
Bordetella,0.0,0.0,0.0
Bosea,0.0,0.0,0.0
Brachybacterium,0.0,0.0,0.0
Brachyspira,0.0,0.0,0.0
Bradyrhizobium,0.0,0.0,0.0
Brevibacillus,0.0,0.0,0.0
Brevibacterium,0.0,0.0,0.0
Brevundimonas,0.0,0.0,0.0
Brochothrix,0.0,0.0,0.0
Brooklawnia,0.0,0.0,0.0
Brucella,0.0,0.0,0.0
Buchnera,0.0,0.0,0.0
Bulleidia,0.0,0.0,0.0
Buttiauxella,0.0,0.0,0.0
Butyricicoccus,0.0,0.0,0.0
Butyricimonas,-0.001776198934280604,0.0,0.0
Butyrivibrio,0.0,0.0,0.0
