Supplemental Table S3.  Species-level OTU table generated by MetaPhlAn2 analysis. Sample numbers in red correspond to the caries group and sample numbers in black correspond to the healthy group.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
species,SC01,SC05,SC07,SC09,SC10,SC11,SC15,SC16,SC18,SC20,SC21,SC22,SC25,SC26,SC27,SC31,SC32,SC34,SC36,SC37,SC38,SC39,SC40,SC17,SC19,SC23,SC24,SC28,SC29,SC30,SC33,SC35,SC41,SC42,SC43,SC44,SC45,SC46,SC47,SC48,SC49,SC50,SC51,SC53,SC54,SC55,SC56
Abiotrophia_defectiva ,6686.26,136.454,25673.3,531.682,7094.5,11387.5,4709.34,295.166,5076.03,3257.33,6482.35,2078.76,2426.91,4033.63,4167.85,5248.56,825.041,2452.7,11966.8,1699.68,1597.12,53451.3,8039.69,16911.3,23361.4,13700.9,9294.97,13141.7,3737.75,13263.7,22759.4,276.292,838.936,24564.9,9778.74,845.6,341.2,9174.35,2074.9,15148.7,1935.54,3347.06,125415,6506.12,0,8372.39,14301.4
Acidovorax_ebreus ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1529.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acinetobacter_junii ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,580.689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acinetobacter_unclassified ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,965.667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actinobacillus_unclassified ,0,941.218,0,0,513.159,0,0,0,0,0,0,0,0,0,1022.42,513.204,469.956,0,0,0,509.463,0,0,0,1021.63,1864.62,2568.36,8200.07,0,0,1902.62,0,471.72,933.763,4240.85,1134.83,3404.7,6117.09,3295.68,4435.33,0,0,15295.5,0,10765.9,1028.2,1543.46
Actinomyces_georgiae ,0,0,41.0137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,608.981,0,258.265,0,0,0,0,0,984.758,3543.9,0,0,0,0,0,0,128.419,0,2359.25,0,0,0,0,44.9864,801.46,0
Actinomyces_graevenitzii ,3240.55,9516.73,4679.13,254.603,5047.44,0,923.643,6600.53,6794.42,6583.04,45072.1,21.8643,4219.73,190.428,0,194.011,1982.99,2289.1,1264.69,1647.04,2602.58,6470.69,1357.05,9539.1,4472.68,566.257,715.219,2802.05,1656.6,6582.09,22100.8,10403,9203.57,273.283,2526.74,4398.39,8876.24,4750.73,3267.87,1249.89,3045.12,2557.86,22958.6,13051.1,60018.9,6395.68,3765.7
Actinomyces_johnsonii ,0,0,522.224,0,0,0,492.886,214.548,77.6493,0,0,0,0,0,0,282.564,104.708,0,826.321,0,258.911,0,705.027,2096.34,441.482,107.152,0,392.483,0,2015.19,1111.57,0,0,1527.06,0,1510.15,0,2696.54,0,2485.99,0,0,0,0,352.822,1383.75,945.875
Actinomyces_massiliensis ,0,0,1820.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,544.37,0,0,648.807,0,419.452,0,0,0,197.777,0,1675.33,2077.82,0,0,86.3596,57.0876,6781.82,7043.97,2708.95,0,115.603,0,0,764.338,631.109,368.246,141.153,113.961
Actinomyces_naeslundii ,597.239,823.213,0,0,0,0,836.249,42.9096,0,1171.93,0,459.356,0,0,0,290.413,0,0,481.77,0,0,3202.04,0,1240.27,0,169.188,165.532,212.825,0,1267.33,3779.46,0,0,1234.03,455.912,0,45.4559,451.146,0,295.901,0,403.608,1435.96,633.177,2288.52,0,1230.07
Actinomyces_odontolyticus ,2665.59,405.374,1361.6,399.827,1741.47,3368.58,1437.24,12822.9,605.622,741.862,4826.69,2594.43,5098.56,1908.22,3194.27,3829.91,3170.82,4403.39,4658.95,2740.97,6851.04,2406.23,4807.21,2783.91,4242.75,2876.61,1109.35,1627.67,2182.48,1690.81,6377.62,19569.3,994.244,0,0,16822.6,23849.7,14472.3,918.631,10148.1,1637.13,2124.31,18138.2,4571.42,22708.5,14749.8,19004.4
Actinomyces_oris ,0,772.022,145.459,0,43.0045,40.1787,0,0,0,1005.34,284.566,0,0,0,0,0,147.516,0,5241.72,0,0,1634.33,0,0,341.275,0,43.2851,0,0,1110.18,6420.4,0,0,1578.48,0,0,1979.86,1818.8,0,7224.65,400.723,0,1645.48,1187.24,847.672,0,2106.14
Actinomyces_sp_HPA0247 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22362.8,153287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52172.7,51898.7,0
Actinomyces_sp_ICM39 ,0,0,0,0,0,0,0,0,0,36331.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actinomyces_sp_ICM47 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55883.6,0,0,0,0,0,0,0,0,82612,0,0,0,0,0,0,0,0,0,0,0,0,0,21292.7,0,0
Actinomyces_sp_oral_taxon_172 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50515.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actinomyces_sp_oral_taxon_448 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41236.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actinomyces_viscosus ,0,1299.06,225.193,0,143.073,0,472.383,1227.99,305.126,2096.49,239.342,24.1332,97.4382,314.129,0,0,171.075,0,2977.09,0,496.924,3491.68,236.819,774.796,342.962,162.295,97.8988,328.297,120.376,1626.94,6198.9,262.018,0,4449.65,2004.28,4329.83,4368.81,4126.98,419.654,3144.08,0,118.989,484.008,1212.4,2309.09,428.231,546.3
Aggregatibacter_actinomycetemcomitans ,0,5496.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,364.07,0,0,0,0,0,0,0,0,940.89
