Sample_2	Sample_22	Sample_23	Sample_24	Sample_25	Sample_26	Sample_27	Sample_28	Sample_29	Sample_3	Sample_30	Sample_31	Sample_32	Sample_33	Sample_34	Sample_35	Sample_36	Sample_37	Sample_38	Sample_39	Sample_4	Sample_40	Sample_41	Sample_42	Sample_44	Sample_45	Sample_46	Sample_47	Sample_48	Sample_5	Sample_50	Sample_51	Sample_52	Sample_53	Sample_54	Sample_56	Sample_7	Sample_8	Sample_9	taxID
                      Capnocytophaga sp. FDAARGOS_737	580	623	0	558	0	303	1517	281	0	0	0	376	0	0	0	400	256	2306	0	438	328	0	611	0	4144	4432	3797	416	0	2695	877	0	0	335	1538	0	0	2322	697	2545799
                      Capnocytophaga sp. oral taxon 323	0	262	1121	688	1175	624	771	483	541	596	0	875	1772	0	312	0	406	9574	0	1466	1357	4323	453	750	0	506	5174	402	0	4525	644	658	677	373	2082	1197	1188	3502	4437	1705617
                      Capnocytophaga sp. oral taxon 864	202	304	1404	827	1379	662	832	543	508	523	0	969	1802	0	333	0	434	9377	0	1444	1557	4267	529	708	0	473	6739	501	0	4186	583	723	647	350	1970	1089	1142	3549	4298	1316593
                      Capnocytophaga sp. oral taxon 878	0	0	0	727	0	0	559	0	0	0	0	0	0	0	0	801	0	2637	0	0	0	0	0	0	319	479	581	0	0	445	0	0	0	222	0	0	0	461	386	1316596
                      Gemella sp. oral taxon 928	544	0	0	414	238	0	671	879	228	914	0	0	0	228	227	0	0	0	0	0	258	0	257	0	0	316	247	492	0	0	229	0	0	0	0	0	0	0	0	1785995
                      Prevotella sp. oral taxon 299	0	0	0	211	0	0	235	0	264	0	0	0	0	0	0	799	0	0	219	0	209	275	0	0	646	327	877	339	325	205	606	0	0	0	311	0	0	301	0	652716
                      Tannerella sp. oral taxon HOT-286	1126	21426	13266	7204	1342	0	9238	29936	78364	19022	1591	43860	86582	9304	45831	494	17349	814	3051	10154	50993	14265	74104	21642	504	10594	3000	39729	528	591	62978	14650	15060	3645	44057	2303	44693	68919	11659	712710
                    Actinobaculum sp. 313	0	0	0	0	315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	257	0	875	0	0	310	0	0	0	0	0	0	0	0	0	0	223	0	0	0	2495645
                    Actinomyces sp. 2129	328	250	511	1233	2282	542	545	389	995	539	0	2258	916	301	574	0	551	986	212	1315	1036	1851	314	563	1023	336	1674	419	272	3246	0	547	429	617	786	5775	1804	651	994	2321394
                    Actinomyces sp. 299	459	362	732	1374	3802	976	688	683	2480	676	0	5081	1333	431	781	0	643	2479	200	2176	1632	3538	385	647	2606	985	2683	444	443	7349	215	607	792	583	1057	9610	3060	1017	1803	2057743
                    Actinomyces sp. 432	600	480	740	2099	3674	1205	939	609	1703	1032	0	4089	1890	506	1251	0	1059	2414	413	2412	1835	3065	371	892	1722	600	3063	744	629	5860	319	960	900	1053	1601	9472	3427	952	1753	2057798
                    Actinomyces sp. Chiba101	916	655	2849	9522	8368	2031	2525	5771	6786	2605	248	5983	2712	797	1753	207	1351	4436	497	3344	3376	4821	803	1485	2940	1233	4780	989	1572	9474	494	1433	7432	1173	5356	13846	4799	2025	2911	1851395
