Final Max Accuracy: 92.92230261088392% in 0:1:28
Test Config: lr: 0.01, linear: False, loss_fn: ce, optim: sgd
Epoch: 0, Train loss: 7.229304023216647, Test Loss: 7.317332255940042, Accuracy: 10.380622837370241
Epoch: 50, Train loss: 7.2277349797644606, Test Loss: 7.315788166079536, Accuracy: 14.21830764391318
Epoch: 100, Train loss: 7.225817946829499, Test Loss: 7.313943437437687, Accuracy: 31.42497640767537
Epoch: 150, Train loss: 7.223848791485228, Test Loss: 7.312042946130282, Accuracy: 42.65492293173954
Epoch: 200, Train loss: 7.221770659590672, Test Loss: 7.310025486534257, Accuracy: 49.76407675369613
Epoch: 250, Train loss: 7.21949946018295, Test Loss: 7.307821252700232, Accuracy: 45.737653350110094
Epoch: 300, Train loss: 7.216963471322522, Test Loss: 7.305361736521279, Accuracy: 44.85687323057565
Epoch: 350, Train loss: 7.214047310431648, Test Loss: 7.302530145356766, Accuracy: 44.227744573765335
Epoch: 400, Train loss: 7.210599921493209, Test Loss: 7.29918067643387, Accuracy: 44.03900597672224
Epoch: 450, Train loss: 7.206391909685846, Test Loss: 7.295081232934872, Accuracy: 43.944636678200695
Epoch: 500, Train loss: 7.2010955629037925, Test Loss: 7.289915093749705, Accuracy: 43.818810946838624
Epoch: 550, Train loss: 7.194134020553244, Test Loss: 7.283105027403517, Accuracy: 43.63007234979553
Epoch: 600, Train loss: 7.184352152261537, Test Loss: 7.273498448928533, Accuracy: 42.87511796162315
Epoch: 650, Train loss: 7.168972584626017, Test Loss: 7.2582882786863925, Accuracy: 41.648317080843036
Epoch: 700, Train loss: 7.140534109952399, Test Loss: 7.229930963336005, Accuracy: 39.037433155080215
Epoch: 750, Train loss: 7.089053328629314, Test Loss: 7.17871875884715, Accuracy: 37.90500157282164
Epoch: 800, Train loss: 7.0368626913850285, Test Loss: 7.1272755072699745, Accuracy: 38.84869455803712
Epoch: 850, Train loss: 6.9849308872245075, Test Loss: 7.075942807988291, Accuracy: 42.87511796162315
Epoch: 900, Train loss: 6.920144257805243, Test Loss: 7.012494959471426, Accuracy: 42.46618433469644
Epoch: 950, Train loss: 6.849730855624864, Test Loss: 6.945237125332712, Accuracy: 43.567159484114505
Epoch: 1000, Train loss: 6.762143576680332, Test Loss: 6.861759191599564, Accuracy: 43.72444164831708
Epoch: 1050, Train loss: 6.661570746951661, Test Loss: 6.764124820772286, Accuracy: 43.91318024536018
Epoch: 1100, Train loss: 6.571534674310375, Test Loss: 6.675024690925712, Accuracy: 44.00754954388172
Epoch: 1150, Train loss: 6.511940262973803, Test Loss: 6.6127215008497116, Accuracy: 44.03900597672224
Epoch: 1200, Train loss: 6.473750449257209, Test Loss: 6.571346592125699, Accuracy: 44.03900597672224
Epoch: 1250, Train loss: 6.444205641083419, Test Loss: 6.539571113106533, Accuracy: 44.03900597672224
Epoch: 1300, Train loss: 6.415282438028163, Test Loss: 6.50937679797847, Accuracy: 44.10191884240327
Epoch: 1350, Train loss: 6.379968568521055, Test Loss: 6.473625389458608, Accuracy: 44.227744573765335
Epoch: 1400, Train loss: 6.333559682223712, Test Loss: 6.426467987802175, Accuracy: 44.38502673796791
Epoch: 1450, Train loss: 6.286796281421075, Test Loss: 6.376650187422078, Accuracy: 44.699591066373074
Epoch: 1500, Train loss: 6.2403001748293505, Test Loss: 6.326484475635075, Accuracy: 45.737653350110094
Epoch: 1550, Train loss: 6.190203967399767, Test Loss: 6.2724614099935945, Accuracy: 45.83202264863164
Epoch: 1600, Train loss: 6.146344532061461, Test Loss: 6.2235872471095215, Accuracy: 45.92639194715319
Epoch: 1650, Train loss: 6.110235596773466, Test Loss: 6.18269773354197, Accuracy: 45.98930481283423
Epoch: 1700, Train loss: 6.078790480897578, Test Loss: 6.147686563051856, Accuracy: 45.98930481283423
Epoch: 1750, Train loss: 6.048833195544386, Test Loss: 6.115443142457203, Accuracy: 47.46775715633847
Epoch: 1800, Train loss: 6.018430130984647, Test Loss: 6.083861731482897, Accuracy: 65.17772884554891
Epoch: 1850, Train loss: 5.987058221611549, Test Loss: 6.051865810091591, Accuracy: 67.85152563699276
Epoch: 1900, Train loss: 5.953569415056024, Test Loss: 6.0176609447379965, Accuracy: 69.39289084617805
Epoch: 1950, Train loss: 5.9150700887518575, Test Loss: 5.978111147607262, Accuracy: 71.02862535388486
