sampleID,read_count,HC_subCST,Lactobacillus_iners,Lactobacillus_crispatus,Gardnerella_vaginalis,Lactobacillus_jensenii,Lactobacillus_gasseri,Atopobium_vaginae,BVAB1,Sneathia_sanguinegens,g_Megasphaera,g_Streptococcus,Prevotella_timonensis,g_Fastidiosipila,g_Anaerococcus,g_Peptoniphilus,g_Corynebacterium_1,g_Finegoldia,g_Bifidobacterium,g_Aerococcus,Prevotella_amnii,BVAB_TM7,g_Prevotella,g_Parvimonas,Prevotella_bivia,g_Staphylococcus,g_Dialister,g_Senegalimassilia,g_Enterococcus,g_Lactobacillus,g_Mobiluncus,g_Gemella,g_Peptostreptococcus,g_Escherichia.Shigella,g_Porphyromonas,g_Veillonella,Lactobacillus_reuteri,Prevotella_colorans,g_Ezakiella,Prevotella_buccalis,g_Ureaplasma,d_Eukaryota,Lactobacillus_ultunensis_1,g_Alloscardovia,Lactobacillus_coleohominis,Prevotella_disiens,g_Moryella,Prevotella_nanceiensis,g_Mycoplasma,Prevotella_corporis,g_Actinomyces,g_Haemophilus,g_Klebsiella,g_Varibaculum,g_Rikenellaceae_RC9_gut_group,g_Proteus,g_Clostridium_sensu_stricto_1,g_Campylobacter,g_Paeniglutamicibacter,g_Fusobacterium,Prevotella_melaninogenica,g_Howardella,g_Peptococcus,f_Bacteroidales_S24.7_group,g_Bacteroides,g_Facklamia,g_Olsenella,g_Arcanobacterium,g_Lawsonella,g_Brevibacterium,g_Oligella,d_NA,f_Enterobacteriaceae,g_Propionimicrobium,g_Halomonas,g_Helcococcus,g_Murdochiella,Prevotella_denticola,g_Bulleidia,g_Micrococcus,g_Propionibacterium,g_Gallicola,g_Shewanella,g_Roseburia,p_Proteobacteria,g_Corynebacterium,o_Micrococcales,Lactobacillus_paracasei_Lactobacillus_rhamnosus,g_Jonquetella,g_Acinetobacter,g_Blautia,Atopobium_parvulum,g_Collinsella,g_Ruminococcaceae_UCG.014,Prevotella_oris,Sneathia_amnii,g_Stenotrophomonas,g_Faecalibacterium,Atopobium_deltae,f_Lachnospiraceae,f_Family_XI,Prevotella_veroralis,Lactobacillus_salivarius,g_Ralstonia,g_Granulicatella,g_Slackia,g_Rothia,g_Neisseria,g_Nosocomiicoccus,g_Sutterella,Prevotellaceae_bacterium,g_Kocuria,Prevotella_bergensis,f_Family_XIII,g_Globicatella,g_Alloprevotella,Lactobacillus_kefiranofaciens,g_Zimmermannella,g_Actinotignum,g_Sneathia,f_Mycoplasmataceae,g_Negativicoccus,Lactobacillus_fermentum,g_Solobacterium,g_Subdoligranulum,g_Trichococcus,Lactobacillus_delbrueckii,g_Dermabacter,f_Corynebacteriaceae,Atopobium_minutum,g_Lactococcus,g_Sarcina,Lactobacillus_pontis,g_Ruminococcaceae_UCG.002,g_Ruminococcus_2,f_Ruminococcaceae,g_Variovorax,g_Dorea,g_Christensenellaceae_R.7_group,g_Weeksella,g_Rhizobium,g_Anaeroglobus,g_Helcobacillus,Prevotella_copri,g_Alistipes,Lactobacillus_equicursoris,g_Actinobaculum,g_Tessaracoccus,g_Helicobacter,g_Leucobacter,g_Trueperella,f_Halomonadaceae,g_Parabacteroides,Lactobacillus_aviarius,g_Ruminococcus_1,c_Betaproteobacteria,g_Phascolarctobacterium,g_Burkholderia.Paraburkholderia,Prevotella_histicola,f_Neisseriaceae,g_Enhydrobacter,g_Bacillus,g_Anaerostipes,c_Clostridia,f_Prevotellaceae,g_Pyramidobacter,f_Carnobacteriaceae,g_Fusicatenibacter,g_Distigma,g_Serratia,g_Enterobacter,g_Acidaminococcus,g_Citrobacter,f_Pasteurellaceae,g_Pasteurella,g_Delftia,g_Bergeyella,f_Peptostreptococcaceae,g_Lachnospiraceae_FE2018_group,Shuttleworthia_satelles,g_Actinobacillus,g_Lachnoclostridium,g_Sporosarcina,g_Sphingomonas,g_Akkermansia,g_Pseudarthrobacter,g_Mogibacterium,g_Cupriavidus,Prevotella_stercorea,g_Kluyvera,g_Leptotrichia,g_Romboutsia,g_Coprococcus_3,g_Coprococcus_2,c_Chloroplast,o_Clostridiales,g_Scardovia,g_Lachnospira,g_Lachnospiraceae_NK4A136_group,g_Catonella,g_Pediococcus,subCST,Pct I-A,Pct I-B,Pct II,Pct III-A,Pct III-B,Pct IV-A,Pct IV-B,Pct IV-C0,Pct IV-C1,Pct IV-C2,Pct IV-C3,Pct IV-C4,Pct V
506,111066,I-A,157,101806,23,1616,109,0,0,0,0,14,13,0,63,36,923,86,0,0,0,0,0,0,117,100,38,0,0,452,8,0,0,4835,9,0,286,0,27,5,0,5,0,0,9,0,0,0,0,0,36,0,0,0,0,0,0,9,118,5,0,0,0,0,0,5,0,8,0,0,64,4,0,0,0,0,0,0,0,10,18,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,I-A,0.9997279,0.00027202125,4.3752772e-30,8.414876e-35,3.2151758e-33,5.003897e-37,1.2476687e-32,6.370191e-31,1.9469175e-37,7.572018e-28,2.6863274e-34,7.2507085e-33,4.7993816e-24
311,168806,II,172,358,105,67,123033,27,152,19,50,77,6024,51,14044,5049,2042,3895,55,40,0,4,6,0,7,6,1708,6,0,0,10,0,13,5,246,4,3,118,1369,1006,0,0,0,0,0,0,8,0,8,997,75,0,0,1705,0,6,0,276,57,0,8,744,0,0,0,205,219,107,38,84,1302,0,0,677,0,962,41,0,0,0,11,244,0,5,0,0,0,0,0,0,0,0,0,0,0,0,45,0,179,0,9,0,0,0,0,17,0,0,18,0,0,0,15,0,46,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,267,0,13,0,0,0,0,0,0,0,436,40,0,0,0,0,0,0,0,0,3,0,0,0,136,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,II,4.7515334e-31,3.2015177e-09,1.0,1.1251798e-30,5.5979455e-17,2.7982635e-23,8.673662e-20,1.1326466e-16,4.390616e-22,1.6988257e-16,2.6326606e-22,3.043671e-14,1.7125853e-11
10603,124611,IV-A,1792,13,31432,0,4,4130,45486,1606,11692,0,0,1396,3,365,2,3,0,319,6577,459,9958,1172,0,0,1091,2213,0,0,199,453,2,0,0,0,0,1921,0,0,63,0,0,0,0,0,0,1867,157,3,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IV-A,6.8382575e-25,2.5104538e-10,5.3616014e-09,4.9425676e-29,1.9949405e-07,0.9995073,0.0004925146,1.0172992e-09,5.057324e-15,2.4277238e-12,1.0473463e-12,5.6610755e-10,6.367687e-10
7748,92236,III-B,51779,13,17635,24,0,3206,0,3358,6256,9,0,362,756,134,6,32,0,2218,0,0,0,1531,524,0,113,1201,0,0,0,274,19,0,0,12,0,0,0,0,18,0,0,0,17,0,0,0,155,0,3,0,0,0,0,0,0,0,0,0,2456,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,III-B,1.0995276e-28,2.0823289e-07,1.3081552e-06,5.639351e-06,0.99999285,3.2417155e-10,2.0060494e-08,9.816964e-14,6.295647e-17,1.8177e-13,6.080664e-14,1.4253677e-11,1.979855e-08
1357,193058,II,118,437,80,79,125134,11,0,3,3,6,24605,23,14637,5416,2655,4471,0,13,0,0,0,0,0,11,2866,0,6,0,65,0,33,10,157,0,0,291,1651,436,0,0,0,5,3,0,144,0,29,873,31,0,0,1609,0,0,0,556,83,0,0,486,0,20,0,123,1179,67,50,124,1245,0,0,966,0,503,29,0,0,0,11,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,93,0,8,0,0,0,0,252,0,0,10,0,0,0,6,17,25,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,58,0,0,0,0,0,0,0,387,24,0,0,0,0,0,0,0,0,2,0,0,0,261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,II,5.1431897e-28,1.5607118e-09,1.0,4.499073e-31,2.9028814e-16,2.4293313e-21,1.0944364e-17,2.2421274e-14,5.2099153e-20,3.8907747e-15,3.5604784e-20,1.09623316e-13,1.474804e-11
12215,64234,III-B,31400,14,106,0,2116,13,0,2,15,11893,393,6,2936,2564,1163,4948,7,0,0,0,0,20,2,160,25,0,6,0,0,2229,0,0,7,408,0,0,0,0,0,1156,0,0,0,0,0,0,0,0,101,484,0,51,0,0,0,0,0,34,94,17,0,0,0,128,0,0,42,0,0,283,0,0,0,0,0,0,5,0,5,0,0,0,0,39,0,0,0,8,0,25,0,0,7,0,0,0,0,0,0,63,0,0,396,7,534,131,0,0,0,0,0,16,0,8,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,9,8,0,0,4,0,0,0,0,0,0,0,11,0,0,47,3,0,0,0,0,0,0,0,0,0,III-B,1.259093e-25,5.6816684e-06,8.930062e-07,3.7921052e-06,0.9999852,5.078439e-12,9.0452026e-08,4.341861e-06,1.6231846e-09,7.1571833e-09,4.4532062e-11,3.0708023e-12,2.3634366e-09
686,39424,V,8,16957,9326,10579,301,3,0,0,0,0,48,0,97,7,93,162,0,0,0,0,0,0,36,0,6,0,0,44,0,0,0,0,0,0,0,0,0,0,0,17,0,0,1693,0,0,0,0,0,4,0,0,5,0,0,0,0,0,0,0,24,0,0,0,3,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,V,4.9526063e-15,0.037957415,1.4832233e-08,2.8444586e-20,1.8582123e-08,7.984749e-11,2.70019e-07,1.3269788e-08,9.863308e-15,1.4512618e-09,6.2222477e-13,5.3032847e-12,0.96204233
11149,30211,III-B,10982,417,13634,0,0,2716,8,51,12,240,0,0,140,21,8,27,369,652,0,4,0,0,241,0,74,198,0,0,0,101,10,0,0,163,0,0,0,12,58,3,0,0,0,0,0,0,0,0,29,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,III-B,4.818164e-28,3.1358628e-08,8.563657e-07,2.8525665e-13,0.9999584,3.0147146e-10,4.0780207e-05,7.146306e-14,9.435621e-15,1.4934127e-12,1.9085179e-14,3.6026723e-11,4.529211e-08
8022,30434,III-A,27570,0,1524,0,33,36,0,36,0,152,0,0,8,9,32,12,0,435,0,0,0,0,13,16,13,4,20,0,0,233,0,0,0,0,0,0,0,0,159,0,0,0,0,0,0,0,12,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,III-A,2.03434e-40,2.916883e-10,4.3871918e-08,0.99994123,5.86678e-05,1.4523911e-19,7.098912e-20,4.463866e-24,1.2004779e-28,9.469717e-22,4.4684535e-22,1.5018491e-18,4.920042e-12
9972,132097,I-A,47,131469,10,0,0,0,15,0,0,2,0,0,0,0,0,5,3,0,0,0,0,0,6,0,0,0,0,347,0,0,0,0,0,0,132,0,0,0,24,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,I-A,0.9999112,8.883069e-05,4.1070373e-33,8.092836e-38,3.0900783e-36,1.22025e-40,1.11062556e-35,5.086466e-35,4.7763e-41,1.56816805e-30,9.823236e-38,5.251911e-36,9.658055e-27
