sampleID,read_count,sub_CST,Lactobacillus_iners,Lactobacillus_crispatus,Gardnerella_vaginalis,Lactobacillus_jensenii,Lactobacillus_gasseri,Atopobium_vaginae,BVAB1,Sneathia_sanguinegens,g_Megasphaera,g_Streptococcus,Prevotella_timonensis,g_Fastidiosipila,g_Anaerococcus,g_Peptoniphilus,g_Corynebacterium_1,g_Finegoldia,g_Bifidobacterium,g_Aerococcus,Prevotella_amnii,BVAB_TM7,g_Prevotella,g_Parvimonas,Prevotella_bivia,g_Staphylococcus,g_Dialister,g_Senegalimassilia,g_Enterococcus,g_Lactobacillus,g_Mobiluncus,g_Gemella,g_Peptostreptococcus,g_Escherichia.Shigella,g_Porphyromonas,g_Veillonella,Lactobacillus_reuteri,Prevotella_colorans,g_Ezakiella,Prevotella_buccalis,g_Ureaplasma,d_Eukaryota,Lactobacillus_ultunensis_1,g_Alloscardovia,Lactobacillus_coleohominis,Prevotella_disiens,g_Moryella,Prevotella_nanceiensis,g_Mycoplasma,Prevotella_corporis,g_Actinomyces,g_Haemophilus,g_Klebsiella,g_Varibaculum,g_Rikenellaceae_RC9_gut_group,g_Proteus,g_Clostridium_sensu_stricto_1,g_Campylobacter,g_Paeniglutamicibacter,g_Fusobacterium,Prevotella_melaninogenica,g_Howardella,g_Peptococcus,f_Bacteroidales_S24.7_group,g_Bacteroides,g_Facklamia,g_Olsenella,g_Arcanobacterium,g_Lawsonella,g_Brevibacterium,g_Oligella,d_NA,f_Enterobacteriaceae,g_Propionimicrobium,g_Halomonas,g_Helcococcus,g_Murdochiella,Prevotella_denticola,g_Bulleidia,g_Micrococcus,g_Propionibacterium,g_Gallicola,g_Shewanella,g_Roseburia,p_Proteobacteria,g_Corynebacterium,o_Micrococcales,Lactobacillus_paracasei_Lactobacillus_rhamnosus,g_Jonquetella,g_Acinetobacter,g_Blautia,Atopobium_parvulum,g_Collinsella,g_Ruminococcaceae_UCG.014,Prevotella_oris,Sneathia_amnii,g_Stenotrophomonas,g_Faecalibacterium,Atopobium_deltae,f_Lachnospiraceae,f_Family_XI,Prevotella_veroralis,Lactobacillus_salivarius,g_Ralstonia,g_Granulicatella,g_Slackia,g_Rothia,g_Neisseria,g_Nosocomiicoccus,g_Sutterella,Prevotellaceae_bacterium,g_Kocuria,Prevotella_bergensis,f_Family_XIII,g_Globicatella,g_Alloprevotella,Lactobacillus_kefiranofaciens,g_Zimmermannella,g_Actinotignum,g_Sneathia,f_Mycoplasmataceae,g_Negativicoccus,Lactobacillus_fermentum,g_Solobacterium,g_Subdoligranulum,g_Trichococcus,Lactobacillus_delbrueckii,g_Dermabacter,f_Corynebacteriaceae,Atopobium_minutum,g_Lactococcus,g_Sarcina,Lactobacillus_pontis,g_Ruminococcaceae_UCG.002,g_Ruminococcus_2,f_Ruminococcaceae,g_Variovorax,g_Dorea,g_Christensenellaceae_R.7_group,g_Weeksella,g_Rhizobium,g_Anaeroglobus,g_Helcobacillus,Prevotella_copri,g_Alistipes,Lactobacillus_equicursoris,g_Actinobaculum,g_Tessaracoccus,g_Helicobacter,g_Leucobacter,g_Trueperella,f_Halomonadaceae,g_Parabacteroides,Lactobacillus_aviarius,g_Ruminococcus_1,c_Betaproteobacteria,g_Phascolarctobacterium,g_Burkholderia.Paraburkholderia,Prevotella_histicola,f_Neisseriaceae,g_Enhydrobacter,g_Bacillus,g_Anaerostipes,c_Clostridia,f_Prevotellaceae,g_Pyramidobacter,f_Carnobacteriaceae,g_Fusicatenibacter,g_Distigma,g_Serratia,g_Enterobacter,g_Acidaminococcus,g_Citrobacter,f_Pasteurellaceae,g_Pasteurella,g_Delftia,g_Bergeyella,f_Peptostreptococcaceae,g_Lachnospiraceae_FE2018_group,Shuttleworthia_satelles,g_Actinobacillus,g_Lachnoclostridium,g_Sporosarcina,g_Sphingomonas,g_Akkermansia,g_Pseudarthrobacter,g_Mogibacterium,g_Cupriavidus,Prevotella_stercorea,g_Kluyvera,g_Leptotrichia,g_Romboutsia,g_Coprococcus_3,g_Coprococcus_2,c_Chloroplast,o_Clostridiales,g_Scardovia,g_Lachnospira,g_Lachnospiraceae_NK4A136_group,g_Catonella,g_Pediococcus,I-A_sim,I-B_sim,II_sim,III-A_sim,III-B_sim,IV-A_sim,IV-B_sim,IV-C0_sim,IV-C1_sim,IV-C2_sim,IV-C3_sim,IV-C4_sim,V_sim,subCST,score,CST
506,111066,I-A,157,101806,23,1616,109,0,0,0,0,14,13,0,63,36,923,86,0,0,0,0,0,0,117,100,38,0,0,452,8,0,0,4835,9,0,286,0,27,5,0,5,0,0,9,0,0,0,0,0,36,0,0,0,0,0,0,9,118,5,0,0,0,0,0,5,0,8,0,0,64,4,0,0,0,0,0,0,0,10,18,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.9958316783355537,0.9327295885950472,0.005198148163070223,0.0026820703790396624,0.10181602279645544,0.0014869262551860897,0.010579031190429635,0.04648046397064152,0.007266342286609753,0.02720948368656722,0.002791968800492127,0.008555762349372355,0.03402085003240968,I-A,0.9958316783355537,I
311,168806,II,172,358,105,67,123033,27,152,19,50,77,6024,51,14044,5049,2042,3895,55,40,0,4,6,0,7,6,1708,6,0,0,10,0,13,5,246,4,3,118,1369,1006,0,0,0,0,0,0,8,0,8,997,75,0,0,1705,0,6,0,276,57,0,8,744,0,0,0,205,219,107,38,84,1302,0,0,677,0,962,41,0,0,0,11,244,0,5,0,0,0,0,0,0,0,0,0,0,0,0,45,0,179,0,9,0,0,0,0,17,0,0,18,0,0,0,15,0,46,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,267,0,13,0,0,0,0,0,0,0,436,40,0,0,0,0,0,0,0,0,3,0,0,0,136,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0022003421201188087,0.017636120148427074,0.9576656568371877,0.004093461768366015,0.006834856420613856,0.0034634026941028893,0.008060842990243088,0.04555078591026297,0.01397614345620069,0.014592969024085621,0.00759049453249061,0.008420768354012693,0.028958051575962502,II,0.9576656568371877,II
10603,124611,IV-A,1792,13,31432,0,4,4130,45486,1606,11692,0,0,1396,3,365,2,3,0,319,6577,459,9958,1172,0,0,1091,2213,0,0,199,453,2,0,0,0,0,1921,0,0,63,0,0,0,0,0,0,1867,157,3,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0004396800969765403,0.006162731743396333,0.03224348013760542,0.01543902057932031,0.058048556394031114,0.9167424177031354,0.37883223271472977,0.0355596085560654,0.009420037243572675,0.006697278255378159,0.0012640857568728292,0.026154841701751114,0.03867033538197465,IV-A,0.9167424177031354,IV-A
7748,92236,III-B,51779,13,17635,24,0,3206,0,3358,6256,9,0,362,756,134,6,32,0,2218,0,0,0,1531,524,0,113,1201,0,0,0,274,19,0,0,12,0,0,0,0,18,0,0,0,17,0,0,0,155,0,3,0,0,0,0,0,0,0,0,0,2456,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0023625576910145324,0.04462459273124362,0.06653629891357596,0.758511398661181,0.908970617007829,0.17362493609524288,0.3699462838392847,0.1270432401094827,0.023225632756254482,0.015189594678960174,0.002527277734572472,0.15128115892886693,0.28005046565217695,III-B,0.908970617007829,III
1357,193058,II,118,437,80,79,125134,11,0,3,3,6,24605,23,14637,5416,2655,4471,0,13,0,0,0,0,0,11,2866,0,6,0,65,0,33,10,157,0,0,291,1651,436,0,0,0,5,3,0,144,0,29,873,31,0,0,1609,0,0,0,556,83,0,0,486,0,20,0,123,1179,67,50,124,1245,0,0,966,0,503,29,0,0,0,11,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,93,0,8,0,0,0,0,252,0,0,10,0,0,0,6,17,25,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,58,0,0,0,0,0,0,0,387,24,0,0,0,0,0,0,0,0,2,0,0,0,261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0.0023992146908191664,0.018015098065292005,0.9388343601332201,0.0037758901162220204,0.007090133485978917,0.005767089188890822,0.012182046527583633,0.057818671283725954,0.014102336148295156,0.01449839277759278,0.007580185415405366,0.009256336058013664,0.029395591435793914,II,0.9388343601332201,II
12215,64234,III-B,31400,14,106,0,2116,13,0,2,15,11893,393,6,2936,2564,1163,4948,7,0,0,0,0,20,2,160,25,0,6,0,0,2229,0,0,7,408,0,0,0,0,0,1156,0,0,0,0,0,0,0,0,101,484,0,51,0,0,0,0,0,34,94,17,0,0,0,128,0,0,42,0,0,283,0,0,0,0,0,0,5,0,5,0,0,0,0,39,0,0,0,8,0,25,0,0,7,0,0,0,0,0,0,63,0,0,396,7,534,131,0,0,0,0,0,16,0,8,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,9,8,0,0,4,0,0,0,0,0,0,0,11,0,0,47,3,0,0,0,0,0,0,0,0,0,0.002460976826971638,0.04521421886142042,0.08649426186005776,0.6691376681446111,0.8038934697813538,0.07175223300460484,0.15972031646948476,0.2132097585926115,0.23287257174367518,0.02377047745219961,0.039774235210626105,0.16966408420560697,0.24946662375388512,III-B,0.8038934697813538,III
686,39424,V,8,16957,9326,10579,301,3,0,0,0,0,48,0,97,7,93,162,0,0,0,0,0,0,36,0,6,0,0,44,0,0,0,0,0,0,0,0,0,0,0,17,0,0,1693,0,0,0,0,0,4,0,0,5,0,0,0,0,0,0,0,24,0,0,0,3,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5073782132937409,0.6296759005723523,0.03677576798782021,0.010615716828776928,0.12763533851538722,0.10691008342890225,0.2248753538605289,0.07713958823705938,0.0129371518782701,0.02719512894698323,0.003516210246279646,0.02617007262336494,0.35110231359600347,I-B,0.6296759005723523,I
11149,30211,III-B,10982,417,13634,0,0,2716,8,51,12,240,0,0,140,21,8,27,369,652,0,4,0,0,241,0,74,198,0,0,0,101,10,0,0,163,0,0,0,12,58,3,0,0,0,0,0,0,0,0,29,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012408866206682037,0.046778635529446215,0.08014291917328713,0.4005197138055974,0.5563355317990867,0.2854964353240416,0.7057811588468207,0.1114074075020834,0.03198680119674331,0.016888654790696504,0.014482502134339124,0.12397993121801378,0.21665362113921363,IV-B,0.7057811588468207,IV-B
8022,30434,III-A,27570,0,1524,0,33,36,0,36,0,152,0,0,8,9,32,12,0,435,0,0,0,0,13,16,13,4,20,0,0,233,0,0,0,0,0,0,0,0,159,0,0,0,0,0,0,0,12,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0024850094346849957,0.04420224065197828,0.050839752312423374,0.9965720239177828,0.8399465886108711,0.06567194983476805,0.1405098218359528,0.08029293656036712,0.021560667272969153,0.012844546635250146,0.001894735263186806,0.1276084424710674,0.24661001135764848,III-A,0.9965720239177828,III
9972,132097,I-A,47,131469,10,0,0,0,15,0,0,2,0,0,0,0,0,5,3,0,0,0,0,0,6,0,0,0,0,347,0,0,0,0,0,0,132,0,0,0,24,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9984036244106921,0.8934763105837024,0.004224458977145408,0.0017732685867163005,0.09731621654938201,0.001309326128473329,0.009698819340867266,0.03984536300514687,0.006184310498700081,0.026141926241270593,0.0024723055517201363,0.006505373447576884,0.025842726430781483,I-A,0.9984036244106921,I
