sampleID,HC_subCST,read_count,Lactobacillus_iners,Lactobacillus_crispatus,Gardnerella_vaginalis,Lactobacillus_jensenii,Lactobacillus_gasseri,Atopobium_vaginae,BVAB1,Sneathia_sanguinegens,g_Megasphaera,g_Streptococcus,Prevotella_timonensis,g_Fastidiosipila,g_Anaerococcus,g_Peptoniphilus,g_Corynebacterium_1,g_Finegoldia,g_Bifidobacterium,g_Aerococcus,Prevotella_amnii,BVAB_TM7,g_Prevotella,g_Parvimonas,Prevotella_bivia,g_Staphylococcus,g_Dialister,g_Senegalimassilia,g_Enterococcus,g_Lactobacillus,g_Mobiluncus,g_Gemella,g_Peptostreptococcus,g_Escherichia.Shigella,g_Porphyromonas,g_Veillonella,Lactobacillus_reuteri,Prevotella_colorans,g_Ezakiella,Prevotella_buccalis,g_Ureaplasma,d_Eukaryota,Lactobacillus_ultunensis_1,g_Alloscardovia,Lactobacillus_coleohominis,Prevotella_disiens,g_Moryella,Prevotella_nanceiensis,g_Mycoplasma,Prevotella_corporis,g_Actinomyces,g_Haemophilus,g_Klebsiella,g_Varibaculum,g_Rikenellaceae_RC9_gut_group,g_Proteus,g_Clostridium_sensu_stricto_1,g_Campylobacter,g_Paeniglutamicibacter,g_Fusobacterium,Prevotella_melaninogenica,g_Howardella,g_Peptococcus,f_Bacteroidales_S24.7_group,g_Bacteroides,g_Facklamia,g_Olsenella,g_Arcanobacterium,g_Lawsonella,g_Brevibacterium,g_Oligella,d_NA,f_Enterobacteriaceae,g_Propionimicrobium,g_Halomonas,g_Helcococcus,g_Murdochiella,Prevotella_denticola,g_Bulleidia,g_Micrococcus,g_Propionibacterium,g_Gallicola,g_Shewanella,g_Roseburia,p_Proteobacteria,g_Corynebacterium,o_Micrococcales,Lactobacillus_paracasei_Lactobacillus_rhamnosus,g_Jonquetella,g_Acinetobacter,g_Blautia,Atopobium_parvulum,g_Collinsella,g_Ruminococcaceae_UCG.014,Prevotella_oris,Sneathia_amnii,g_Stenotrophomonas,g_Faecalibacterium,Atopobium_deltae,f_Lachnospiraceae,f_Family_XI,Prevotella_veroralis,Lactobacillus_salivarius,g_Ralstonia,g_Granulicatella,g_Slackia,g_Rothia,g_Neisseria,g_Nosocomiicoccus,g_Sutterella,Prevotellaceae_bacterium,g_Kocuria,Prevotella_bergensis,f_Family_XIII,g_Globicatella,g_Alloprevotella,Lactobacillus_kefiranofaciens,g_Zimmermannella,g_Actinotignum,g_Sneathia,f_Mycoplasmataceae,g_Negativicoccus,Lactobacillus_fermentum,g_Solobacterium,g_Subdoligranulum,g_Trichococcus,Lactobacillus_delbrueckii,g_Dermabacter,f_Corynebacteriaceae,Atopobium_minutum,g_Lactococcus,g_Sarcina,Lactobacillus_pontis,g_Ruminococcaceae_UCG.002,g_Ruminococcus_2,f_Ruminococcaceae,g_Variovorax,g_Dorea,g_Christensenellaceae_R.7_group,g_Weeksella,g_Rhizobium,g_Anaeroglobus,g_Helcobacillus,Prevotella_copri,g_Alistipes,Lactobacillus_equicursoris,g_Actinobaculum,g_Tessaracoccus,g_Helicobacter,g_Leucobacter,g_Trueperella,f_Halomonadaceae,g_Parabacteroides,Lactobacillus_aviarius,g_Ruminococcus_1,c_Betaproteobacteria,g_Phascolarctobacterium,g_Burkholderia.Paraburkholderia,Prevotella_histicola,f_Neisseriaceae,g_Enhydrobacter,g_Bacillus,g_Anaerostipes,c_Clostridia,f_Prevotellaceae,g_Pyramidobacter,f_Carnobacteriaceae,g_Fusicatenibacter,g_Distigma,g_Serratia,g_Enterobacter,g_Acidaminococcus,g_Citrobacter,f_Pasteurellaceae,g_Pasteurella,g_Delftia,g_Bergeyella,f_Peptostreptococcaceae,g_Lachnospiraceae_FE2018_group,Shuttleworthia_satelles,g_Actinobacillus,g_Lachnoclostridium,g_Sporosarcina,g_Sphingomonas,g_Akkermansia,g_Pseudarthrobacter,g_Mogibacterium,g_Cupriavidus,Prevotella_stercorea,g_Kluyvera,g_Leptotrichia,g_Romboutsia,g_Coprococcus_3,g_Coprococcus_2,c_Chloroplast,o_Clostridiales,g_Scardovia,g_Lachnospira,g_Lachnospiraceae_NK4A136_group,g_Catonella,g_Pediococcus,subCST,Pct I-A,Pct I-B,Pct II,Pct III-A,Pct III-B,Pct IV-A,Pct IV-B,Pct IV-C0,Pct IV-C1,Pct IV-C2,Pct IV-C3,Pct IV-C4,Pct V
12954,I-A,47634,684,40537,0,3300,0,0,0,0,0,28,0,0,715,246,13,759,0,0,0,0,0,0,90,10,51,0,81,226,0,0,0,52,0,160,155,0,0,5,0,3,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,210,0,0,0,0,0,0,130,0,0,0,0,0,22,0,0,0,0,0,3,0,33,0,0,0,0,0,0,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,I-A,0.18468711,0.06794286,0.06794272,0.06794272,0.06794272,0.06794272,0.06794272,0.06794272,0.06794272,0.06794272,0.06794272,0.06794272,0.06794272
4783,IV-B,129687,20652,485,13825,23,0,13597,34,16872,13810,0,6933,3317,337,2846,0,14,0,386,8642,8902,0,3399,0,0,1696,3169,0,211,2063,1525,0,0,5258,0,0,283,0,1045,0,16,0,0,18,0,0,3,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,192,0,0,84,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IV-B,0.06794339,0.06794339,0.06794339,0.06794339,0.06794915,0.067943394,0.18467358,0.06794339,0.06794339,0.06794339,0.06794339,0.067943394,0.06794339
8938,IV-B,112074,31940,22,27236,12,4,12391,2144,3174,6967,5,416,11,50,273,24,116,0,1938,1890,0,17240,621,197,0,1933,2201,0,0,22,0,11,0,7,0,0,77,23,63,0,4,0,0,36,63,3,645,31,0,0,0,0,11,90,0,0,11,5,0,0,0,0,0,0,0,0,8,0,2,0,0,0,0,0,0,0,0,0,0,0,7,0,0,5,0,122,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IV-B,0.0679433,0.0679433,0.0679433,0.0679433,0.06794577,0.06794582,0.18467543,0.0679433,0.0679433,0.0679433,0.0679433,0.0679433,0.067943305
11242,IV-A,193372,245,33,6036,0,0,5956,113591,5016,2206,3,63,6353,441,923,0,5,0,3,16155,773,9179,2807,0,0,707,1803,0,0,6090,0,1327,0,2766,0,0,1918,22,40,0,6,0,0,0,0,2354,1308,0,0,0,0,0,0,405,0,0,0,0,0,0,65,0,3761,0,0,202,79,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,116,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IV-A,0.06794271,0.06794271,0.06794271,0.06794271,0.06794271,0.18468744,0.06794271,0.06794271,0.06794271,0.06794271,0.06794271,0.06794271,0.06794271
6224,I-A,66345,245,63963,7,1482,9,0,0,7,0,0,16,0,11,25,0,19,0,0,0,0,0,0,0,0,5,0,0,428,0,0,0,0,0,0,20,0,5,0,6,0,0,0,9,7,0,0,0,29,0,0,0,12,0,0,0,7,0,22,0,0,0,0,0,0,0,0,2,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,I-A,0.18468744,0.06794271,0.06794271,0.06794271,0.06794271,0.06794271,0.06794271,0.06794271,0.06794271,0.06794271,0.06794271,0.06794271,0.06794271
10428,III-A,11515,10954,11,18,0,0,45,7,174,0,42,0,5,0,0,12,0,0,12,18,0,0,0,0,0,3,3,0,0,0,0,0,0,0,169,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,III-A,0.06794271,0.06794271,0.06794271,0.18468744,0.06794271,0.06794271,0.06794271,0.06794271,0.06794271,0.06794271,0.06794271,0.06794271,0.06794271
9753,I-B,83298,769,32574,29021,0,0,2840,247,182,1331,9,45,51,25,125,0,0,136,57,227,1244,6422,324,0,0,1813,2123,0,73,0,1359,16,14,10,0,0,239,17,17,5,0,0,0,0,20,4,1521,25,6,0,0,0,0,5,0,0,9,0,0,0,26,0,0,36,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,0,0,23,0,0,3,6,0,45,27,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,5,41,0,0,0,0,0,0,0,0,0,8,0,0,0,5,0,0,0,6,0,0,0,0,4,0,12,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,6,0,0,I-B,0.06794274,0.18468712,0.06794273,0.06794273,0.06794273,0.06794273,0.06794286,0.06794273,0.06794273,0.06794273,0.06794273,0.067942746,0.06794273
11736,III-B,81153,30712,18279,21813,3331,189,8,0,0,0,7,73,20,1637,622,533,1501,20,3,0,0,0,0,0,11,68,0,0,0,0,0,0,5,3,23,119,0,17,20,0,1374,0,0,0,40,0,0,0,0,44,0,0,27,0,0,0,5,38,0,0,59,0,0,18,34,0,0,26,0,0,308,0,62,0,3,15,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,4,0,0,0,0,0,11,0,0,0,0,0,0,13,0,0,0,0,0,0,0,2,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,III-B,0.06794478,0.0679625,0.06794478,0.06794478,0.18464491,0.06794478,0.06794478,0.06794478,0.06794478,0.06794478,0.06794478,0.06794478,0.06794478
6106,V,40659,15168,0,0,21536,2318,0,0,0,0,53,15,0,36,88,8,252,0,0,0,0,0,0,199,12,40,0,4,0,0,0,5,25,3,65,0,0,0,0,0,0,0,0,0,4,0,0,0,0,15,13,0,0,0,0,0,7,0,0,5,51,0,0,0,0,0,0,96,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,V,0.06794271,0.06794271,0.06794271,0.06794271,0.06794271,0.06794271,0.06794271,0.06794271,0.06794271,0.06794271,0.06794271,0.06794271,0.18468744
4555,IV-C1,17685,0,0,0,0,0,0,0,0,0,13086,0,0,0,0,33,5,4066,0,0,0,0,0,0,462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IV-C1,0.06794271,0.06794271,0.06794271,0.06794271,0.06794271,0.06794271,0.06794271,0.06794271,0.18468744,0.06794271,0.06794271,0.06794271,0.06794271
